C
822645	813290	794867	795723	772221	767355	804835	857723	758469	815873	815798	763433	830712	870531	840772	799543	770839	839417	800121	799451	835639	805634	815269	806720	900208	808400	768788	777901	827701	778019	755913	772960	765996	796914	772106	849918	783243	776659	817104	842624	834671	814528	807848	770312	757248	841210	804631	771476	798145	833820	809443	858346	792868	791098	792175	824657	792400	779319	789748	803319	732999	791614	782607	784535	759464	787036	813573	846367	788789	814526	845588	838836	823157	818413	838079	755695	788940	811030	744006	810838	847396	785608	823354	825851	819318	831030	831384	791075	832304	803201	800892	808646	831673	804090	765918	818563	812117	804293	826683	791120	795423	784270	844238	849477	741353	794076	814058
864832	807799	828871	802419	797820	813204	853828	843407	792342	837037	810422	780108	821178	873901	859659	783311	796514	809202	833691	780196	830349	792877	820774	822870	911174	867017	777732	788410	837547	842560	810843	795497	754499	806067	801447	867150	829066	783723	813600	843908	827333	838484	813081	777843	788817	841297	808447	787083	793625	884778	803188	841565	801327	805378	785461	823129	781634	786597	794777	822242	758213	775133	810549	786908	767482	824966	863338	855288	802736	845107	873484	840302	844414	827801	858299	791551	812736	804212	746793	793327	882236	803807	854117	818014	807516	807676	853892	788647	825078	819578	795119	832301	830832	828089	782541	797658	867526	815244	860253	790767	811168	790259	858959	855167	778218	815008	816864
830274	804622	788139	771558	796535	788152	798212	804382	788547	808411	769914	743015	805068	845851	820225	766552	790109	803308	795172	804373	825947	776487	826025	800029	847531	822738	776955	767243	790122	824374	767935	801114	759062	807098	759285	837200	745009	780203	799779	828120	817702	807746	822692	739264	756735	826516	783435	734472	785745	827418	792058	818226	794916	819234	773193	804907	759070	773678	772538	779731	723803	790356	778619	803825	762208	769684	820200	803045	745017	772935	879376	806645	818783	805447	815056	778620	754698	772362	730043	813681	840968	830862	805502	830080	764422	787451	816356	773250	800603	772682	787005	809079	789976	829543	746184	773415	788923	770159	809614	784900	803110	742159	847259	814175	711099	799488	781661
818860	834215	793366	813171	777440	791722	768500	813766	757949	804056	809522	770791	814661	843033	815485	798006	776448	823969	782175	793012	818646	794909	777609	794352	882961	804323	773612	789852	805002	806938	772190	791445	735378	797973	763868	810321	772796	766285	813773	810659	801808	802056	825255	752615	780512	823490	758729	772752	772645	844721	789170	822135	789797	783900	774176	811697	783040	763803	781998	792834	693247	768669	784336	771972	732952	791646	774485	834202	762250	783661	850311	805435	827325	804867	840598	775098	796739	763896	750006	799957	827384	793335	821975	830080	804741	780073	812077	752418	809639	813623	745137	802997	829531	801651	716108	801926	813341	749836	821779	793990	779961	758806	820451	834881	717001	788020	780793
780018	802425	782142	762999	762999	776028	786929	797951	743961	777351	748623	774056	766002	815478	796216	758127	748597	785531	792476	761087	799341	705729	765909	769328	854434	791356	735141	791918	758098	749812	709795	766625	742360	783931	754263	811511	723504	737240	763072	803534	761701	795275	775336	735578	762542	819308	728839	715343	780778	816827	789458	799002	752023	755045	741225	790224	754099	737718	768712	739081	683314	759605	758484	728695	735229	755715	795370	811467	721974	771362	799998	771015	779001	767773	799542	774149	741167	781419	724265	741396	820557	765114	769319	796224	781229	773179	807837	755080	780348	759908	737809	767648	764394	779129	714164	773758	745754	746848	785859	769859	790432	741738	785688	787162	723271	763440	744319
800096	785556	792374	776850	770152	736010	797212	807304	761734	793834	773390	759255	771076	835204	826586	766342	752501	797646	802624	821407	791399	794742	813933	825192	841520	820928	780735	766238	806385	776101	739949	792495	742743	801494	767546	822121	768127	783581	775412	826161	820095	827715	817406	764069	788630	834115	766572	748840	780456	812240	806496	798124	791003	803337	787367	807159	743405	781887	761878	769485	694202	757305	765911	752049	747560	771228	782655	819971	769139	768456	839282	781080	827054	796046	821905	740559	766127	766196	743850	758244	836653	798972	793038	831210	778968	770702	818358	790606	823952	781646	793162	785314	802197	797083	727118	796064	794893	815570	800555	798015	751440	758244	819647	825927	718975	787581	771917
790123	819555	782342	769612	755182	748725	793823	821770	783651	810235	790340	747359	795595	846229	828445	788110	739888	812431	793850	767700	782916	762000	787356	775295	855022	808824	785511	766238	780592	779384	763553	763479	742719	793314	761195	815756	770671	729885	796137	827054	779488	804767	788952	760328	782400	798290	770185	731157	812757	814195	767106	837565	794034	794774	786108	803522	765262	751816	802707	775834	716535	765863	760320	771331	743087	769575	792661	795379	768408	816557	858971	809167	809328	782783	808617	761863	781510	771845	732245	742760	836191	785487	804633	796514	771674	757499	842366	762630	809267	779109	783695	792063	806909	793633	744878	767330	803983	781496	780750	786987	774042	740498	844197	855433	728470	748816	739184
887092	876805	837653	850216	833315	847631	871562	872072	835357	852580	862471	818544	870494	925379	910787	837424	854336	846238	862110	842923	865700	846546	860275	839816	955576	874573	816394	851424	884376	844658	835730	844729	806012	900556	825900	875076	838220	835132	872629	895599	855774	875368	865533	835764	870019	879513	855321	828731	849459	905078	858559	853002	861345	865572	867214	914528	838567	822332	835450	857978	755096	818428	821839	843104	839842	817986	875831	889559	811559	867412	932031	866918	900546	845871	887540	845467	863405	873776	790462	820193	906970	861631	868626	878867	844159	861233	871059	848320	894712	815987	841985	852361	887824	893345	790993	813735	872467	867008	880274	859897	862502	828260	893914	888187	784129	826970	841314
892653	863172	851257	850292	809627	835159	869150	865487	825181	850703	849023	825889	870017	942025	914070	811008	853892	849920	830330	825213	840445	844998	865635	864985	949388	899814	845053	811787	864627	868673	830800	853067	808480	870879	837449	883040	843344	821071	855562	887796	859292	879837	846985	816572	851095	902689	844271	815396	844916	894915	845368	882575	853923	869244	846539	876146	825554	831009	853251	840227	802938	833557	858669	819980	831789	840966	864385	887733	817854	853062	902863	857251	867218	866036	902350	838580	847309	866665	791124	826867	875223	833149	880735	864709	879026	843686	881352	845930	860859	847946	848544	868340	877025	871851	756716	849375	857406	833210	874936	870800	830712	836751	899794	905680	769168	844025	867216
841072	779511	814859	787226	785814	806184	810879	827672	780813	798710	784215	774131	808546	841077	830413	801170	787467	821102	797122	817670	806853	797333	818375	814893	881614	828820	789329	797316	791913	806775	770463	779385	768969	788030	776934	832806	767891	797486	801938	825118	820079	795244	814048	765219	770535	848743	788425	767504	802393	841553	815459	847176	782794	799560	803103	822777	805771	760001	806303	807347	740283	769746	825212	800142	769313	760254	806221	817409	757665	797762	859956	804570	822075	806879	829515	798623	800866	794538	777522	761864	857633	789379	839155	799393	769808	800647	851301	773504	857473	824160	802629	813158	793933	826233	742275	790122	802682	795862	822535	788505	790625	792598	847627	821257	757160	778506	804573
