B
60	26	73	64	28	79	59	39	98	67	62	8	96	68	72	81	50	79	12	79	20	80	52	66	93	47	93	21	60	60	69	56	35	78	54	18	68	95	9	76	48	62	68	95	85	10	26	5	91	55	11	32	59	96	9	54	25	94	99	34	100	58	24	15	3	2	93	100	89	2	80	95	76	6	23	47	24	81	23	57	66	55	30	45	91	61	32	47	73	64	0	94	97	38	66	95	72	31	8	49	32	57	86	28	72	70
17	42	1	34	66	38	8	2	99	70	38	55	32	41	31	75	62	58	13	57	3	19	12	72	61	100	4	78	23	80	15	45	76	6	28	82	34	94	84	79	42	15	60	78	18	80	50	69	25	51	64	28	74	53	92	32	40	55	73	24	9	34	96	78	86	49	9	54	51	25	40	75	87	50	90	70	58	40	51	18	21	89	72	49	55	41	10	84	58	90	82	16	40	27	35	86	0	79	22	99	44	61	77	27	22	86
84	47	8	89	21	92	79	19	88	19	65	17	20	73	71	99	49	40	9	1	45	86	32	29	32	67	9	93	63	45	29	76	97	94	93	27	71	9	78	98	71	52	50	24	91	3	82	21	93	22	73	0	21	22	96	26	79	60	14	57	22	45	20	40	20	1	15	53	27	28	95	17	80	11	95	53	50	47	48	59	10	50	29	57	91	82	13	84	44	9	73	73	68	81	8	39	70	40	62	5	81	38	42	29	13	49
51	13	29	97	83	11	16	26	65	85	58	45	55	67	4	91	95	61	49	39	51	97	26	20	60	83	23	81	13	5	47	54	59	68	36	10	84	63	49	39	83	66	79	77	46	1	76	41	44	21	51	28	71	100	76	56	16	55	19	1	82	70	1	44	88	50	15	7	99	36	81	99	56	62	21	13	55	47	4	73	9	91	91	52	34	75	96	74	49	19	59	28	14	23	49	49	91	79	25	53	98	85	61	0	46	8
56	91	86	59	35	57	83	36	37	43	6	81	92	41	40	82	91	34	39	69	17	76	25	71	27	48	77	49	53	32	98	7	48	43	18	86	72	66	69	72	90	48	79	31	30	49	89	99	40	36	15	26	11	55	93	32	83	45	63	11	0	80	12	23	32	9	54	80	53	85	49	46	36	6	9	18	27	13	5	55	40	14	18	19	47	89	23	88	44	47	88	74	55	55	36	53	93	5	82	82	71	71	31	56	60	38
16	98	54	97	41	62	47	32	65	97	1	70	44	43	93	0	56	99	33	46	5	9	53	48	28	84	26	2	68	79	35	80	2	81	23	82	39	88	89	56	10	12	4	31	94	21	94	62	30	99	29	3	14	99	65	10	76	63	30	53	20	55	31	32	56	92	52	28	67	55	100	67	55	32	32	94	64	69	25	86	52	79	0	15	72	73	99	71	91	28	86	72	39	53	11	94	92	23	38	66	26	67	66	24	13	66
37	78	84	46	5	81	23	19	64	8	74	43	68	31	37	17	33	70	56	46	17	15	60	64	40	20	74	45	21	3	6	74	59	61	15	13	45	100	32	98	29	50	12	6	48	9	26	91	100	100	59	37	47	29	98	32	36	81	70	66	37	70	95	16	28	40	26	1	43	1	20	29	52	4	53	13	3	41	69	35	35	18	62	62	10	55	3	8	48	3	19	34	18	66	22	47	23	30	80	97	45	86	86	96	74	62
10	23	18	57	41	64	96	11	25	10	68	13	23	46	79	91	87	71	82	75	94	18	77	74	22	57	8	99	95	23	24	6	41	16	51	6	70	9	54	7	96	72	32	23	50	82	64	58	89	39	100	75	18	45	100	13	64	32	12	18	90	10	80	83	71	73	9	68	96	1	0	100	46	86	87	45	59	49	23	57	70	68	54	33	39	55	2	7	40	10	39	20	28	17	63	20	53	56	39	8	88	11	22	8	35	80
98	88	1	66	58	23	48	20	67	89	86	80	81	43	52	31	73	40	9	92	3	27	74	68	34	55	68	98	80	43	48	30	26	79	60	24	35	71	87	58	88	80	34	65	5	37	37	88	20	91	96	26	38	62	37	18	60	24	72	50	55	11	32	99	33	72	45	22	13	40	18	50	49	13	49	55	57	2	54	7	87	5	85	48	5	51	60	41	77	17	46	31	98	10	91	84	45	77	98	23	34	63	92	11	22	98
61	12	85	61	1	19	28	10	4	15	32	70	29	32	92	4	73	60	86	92	61	31	76	23	74	54	43	37	88	50	80	27	40	76	75	0	67	43	1	90	55	23	7	93	19	49	6	22	89	27	18	27	4	19	79	33	81	93	41	43	76	74	17	40	70	69	86	20	51	85	44	88	32	16	2	89	92	28	60	88	72	71	28	36	27	90	11	24	83	98	74	13	98	6	1	58	65	50	94	30	37	35	18	16	12	49
24	22	32	51	99	77	61	24	58	29	19	5	17	44	41	37	43	49	97	87	41	50	65	83	100	52	92	41	25	53	43	58	91	53	30	83	81	42	0	74	78	41	90	95	76	95	22	20	38	56	12	65	38	35	1	49	83	74	11	76	82	19	10	0	97	42	12	36	66	51	38	74	45	59	88	93	16	22	23	80	12	33	50	22	42	61	47	38	28	53	15	0	46	90	58	88	66	72	56	52	69	1	59	39	61	70
95	64	49	96	70	56	34	40	23	72	14	72	91	45	98	90	50	26	24	15	69	46	34	98	8	11	34	35	18	90	35	82	25	74	79	34	16	84	54	28	97	62	31	55	37	20	5	81	80	96	10	85	32	74	8	97	96	100	29	23	22	69	47	30	9	96	95	50	34	1	72	10	92	63	49	82	18	65	17	15	57	90	27	29	46	64	95	46	88	87	56	50	84	97	3	22	58	35	3	62	81	30	82	48	87	25
82	47	66	52	33	53	56	30	54	21	57	64	45	25	73	56	100	37	97	54	24	85	100	1	69	6	72	57	46	92	35	28	32	79	31	46	79	21	90	27	49	38	65	50	46	59	82	57	88	69	52	78	81	9	97	56	54	4	2	94	81	22	80	78	69	27	60	35	22	23	85	64	19	72	2	12	41	63	90	99	67	13	73	18	35	43	8	7	85	34	32	87	73	57	61	75	60	35	21	92	53	37	43	31	23	26
41	80	55	63	37	88	29	32	84	58	69	28	89	78	56	100	74	83	74	49	66	47	0	97	0	37	82	27	45	83	69	69	24	69	47	70	54	84	66	84	33	81	64	7	0	30	10	7	76	82	5	41	14	49	39	20	78	2	16	84	34	46	80	22	33	38	74	66	38	93	42	36	78	54	73	72	92	85	21	73	40	57	15	66	3	23	12	61	37	22	81	88	30	60	37	0	20	57	46	40	93	73	52	19	29	90
62	28	27	7	49	86	89	40	31	68	36	33	41	38	76	23	33	45	67	84	52	18	71	24	7	55	70	56	38	92	79	94	56	15	62	77	73	87	25	90	38	82	35	56	26	91	56	47	62	66	94	98	34	35	75	54	3	42	17	83	70	85	74	9	60	59	59	33	41	73	91	96	24	69	32	20	16	92	98	92	98	2	0	91	81	15	20	2	58	16	23	97	91	79	50	68	59	31	36	46	16	32	19	82	29	71
39	65	23	90	58	23	25	66	22	68	19	65	0	6	5	92	11	53	77	36	19	8	8	6	97	42	10	71	56	72	32	10	2	18	90	19	53	73	34	70	14	24	64	30	40	12	32	13	81	20	63	100	24	43	78	98	98	7	52	41	67	54	81	23	39	12	21	94	34	88	8	26	99	97	30	19	62	83	69	90	9	4	94	67	0	83	2	18	47	65	46	29	5	3	53	83	6	60	91	64	70	3	89	52	62	55
24	39	97	45	30	60	67	25	82	14	12	30	34	50	89	37	77	13	95	97	75	69	3	40	18	72	21	31	29	21	99	89	90	14	93	27	50	48	60	35	65	73	19	83	22	50	46	43	25	55	74	7	39	32	51	25	6	60	7	44	80	54	37	15	68	36	59	70	81	31	91	30	67	55	95	74	70	82	42	67	88	62	8	19	64	12	18	89	36	6	22	10	93	62	20	83	67	19	12	47	23	44	98	35	99	0
10	64	60	93	39	97	68	87	7	82	33	82	36	78	59	55	69	25	78	68	59	20	94	75	98	63	51	32	80	95	22	96	0	47	63	63	47	78	55	23	9	77	60	97	10	32	97	27	45	91	75	53	93	45	89	5	64	85	69	36	42	62	40	86	15	63	75	28	95	86	60	11	10	53	28	79	86	70	79	70	8	76	38	25	38	75	42	6	40	88	7	9	31	53	21	72	53	44	31	20	79	98	98	98	97	28
64	36	77	90	78	48	54	76	69	9	66	81	50	2	59	77	23	45	63	91	6	28	0	23	38	65	25	36	94	3	55	50	79	23	50	5	32	41	38	30	34	66	97	47	30	5	97	48	13	65	16	39	30	35	69	0	6	7	8	74	20	90	36	92	73	88	0	52	31	28	72	31	29	51	66	24	78	81	53	51	96	47	31	44	81	54	66	95	3	100	12	34	64	92	79	94	7	83	55	64	4	74	37	49	82	48
99	30	22	26	62	82	2	13	28	17	92	90	34	1	57	9	33	96	46	97	55	22	10	87	64	4	71	54	20	61	1	99	24	95	19	81	63	51	81	85	79	83	68	27	18	31	76	83	71	66	83	65	65	20	33	20	21	100	70	100	11	98	34	83	73	71	33	45	67	37	66	70	11	3	79	68	50	79	63	15	39	89	70	52	83	91	33	38	52	45	88	65	29	94	27	88	38	79	76	16	44	18	22	18	12	68
5	25	52	85	100	84	73	69	13	2	85	64	98	82	0	57	96	52	43	44	0	25	56	15	22	54	58	42	87	96	90	79	19	40	99	30	49	31	16	43	8	47	4	76	68	20	59	24	47	83	44	35	80	71	20	46	30	5	32	89	46	98	52	59	84	47	17	54	10	53	53	48	95	83	90	14	92	1	28	84	29	84	27	93	2	10	12	14	19	40	97	4	33	50	90	47	76	8	87	20	27	76	5	64	30	25
4	96	9	14	11	22	33	13	97	15	27	97	22	21	32	75	81	2	9	25	78	66	58	90	88	11	43	66	100	17	94	34	86	41	11	24	59	64	56	63	34	2	52	80	4	6	8	71	13	16	64	41	62	4	57	14	1	42	90	70	18	48	23	66	63	97	44	65	52	32	63	98	16	11	92	76	3	87	97	24	16	42	66	10	66	40	23	76	45	50	36	42	14	13	74	70	87	36	24	9	55	2	49	77	76	15
38	31	53	49	53	44	30	81	70	67	43	23	58	34	27	7	100	22	11	64	74	87	38	75	40	67	25	72	37	3	53	52	76	53	5	30	50	25	88	68	2	93	10	92	73	92	66	78	67	39	85	16	7	48	33	34	33	24	72	16	46	5	0	76	8	29	53	15	81	36	15	58	40	47	52	24	77	20	63	35	64	82	66	89	40	76	27	81	59	65	60	55	17	57	89	93	55	15	60	13	88	41	40	10	80	45
